bucket,label,n,n_with_1y,mean_1y,median_1y,hit_rate_1y,n_with_3y,mean_3y,median_3y,hit_rate_3y
1,1=cheapest,20,20,-0.22651986691531129,-0.42160950413980924,0.25,20,-0.17789182207801563,-0.507829563158418,0.2
2,q2,13,13,-0.22277103301856802,-0.19497683615610284,0.23076923076923078,13,-0.5545005200369769,-0.7664884003960757,0.15384615384615385
3,q3,13,13,-0.24030965919309796,-0.3352940877278646,0.23076923076923078,13,-0.235467097431141,-0.7604166666666666,0.15384615384615385
4,q4,18,18,-0.18877759859623197,-0.3134711153469432,0.2222222222222222,18,-0.1959357680976058,-0.36139538925365605,0.16666666666666666
5,5=expensive,19,19,-0.24625870871496736,-0.24285714285714288,0.21052631578947367,19,-0.4025023331349351,-0.5857142857142856,0.21052631578947367
