ticker,name,mkt_cap_m,revenue_m,stage_raw,subsector_raw,industry,region,exchange_hint,notes,source_sheet,log_mkt_cap,log_revenue,has_revenue,size_band,size_band_ord,rich_modalities,rich_therapeutic_areas,pipeline_filed,modality_source,combined_modalities,primary_modality,is_compound_modality,mod_Oncology,mod_Gene/Cell Therapy,mod_RNA/Antisense,mod_Neurology,mod_Immunology,mod_Rare Disease,mod_Metabolic,mod_Cardiovascular,mod_Ophthalmology,mod_Vaccines,mod_Dermatology,mod_AI/Platform,mod_Psychedelics/CNS,mod_Biosimilars,mod_General Biotech
SGMO,"Sangamo Therapeutics, Inc.",140.31,32.88,Has revenue,Gene/Cell Therapy,Biotechnology,US,,,US Biotech,2.1470886246281666,1.5299434016586693,1,micro,1,"['Gene therapy', 'Gene editing', 'RNAi/siRNA']","['Neurology/CNS', 'Rare disease', 'Metabolic/Obesity']",2026-03-30,lexicon,"['Gene therapy', 'Gene editing', 'RNAi/siRNA', 'Neurology/CNS', 'Rare disease', 'Metabolic/Obesity', 'Gene/Cell Therapy']",Gene/Cell Therapy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTB,Connect Biopharma Holdings Limited,138.64,0.762,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.1418885497058606,0.24600590407602912,1,micro,1,[],['Rare disease'],2026-03-31,lexicon,"['Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADAG,Adagene Inc.,133.85,0.1032,Pre-revenue,Gene/Cell Therapy,Biotechnology,US,,,US Biotech,2.1266183755229515,0.042654253167793324,1,micro,1,[],[],,xlsx,['Gene/Cell Therapy'],Gene/Cell Therapy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORMP,Oramed Pharmaceuticals Inc.,130.75,2.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.1164416975393117,0.47712125471966244,1,micro,1,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLYX,"Polaryx Therapeutics, Inc.",129.72,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.1130069400009353,0.0,0,micro,1,"['Small molecule', 'Gene therapy']","['Rare disease', 'Oncology', 'Neurology/CNS']",2026-03-24,lexicon,"['Small molecule', 'Gene therapy', 'Rare disease', 'Oncology', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPRO,"Spero Therapeutics, Inc.",129.58,40.55,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.112537975609308,1.6185710281201298,1,micro,1,['Cell therapy (other)'],"['Rare disease', 'Infectious disease', 'Metabolic/Obesity']",2026-03-26,lexicon,"['Cell therapy (other)', 'Rare disease', 'Infectious disease', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CRDF,"Cardiff Oncology, Inc.",128.53,0.593,Pre-revenue,Oncology,Biotechnology,US,,,US Biotech,2.1090045075413846,0.20221577580113148,1,micro,1,['Small molecule'],"['Oncology', 'Rare disease', 'Hematology']",2026-02-24,lexicon,"['Small molecule', 'Oncology', 'Rare disease', 'Hematology']",Oncology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARD,"Aardvark Therapeutics, Inc.",127.37,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.1050671488101234,0.0,0,micro,1,['Small molecule'],"['Metabolic/Obesity', 'Rare disease']",2026-03-23,lexicon,"['Small molecule', 'Metabolic/Obesity', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACOG,Alpha Cognition Inc.,125.89,7.43,Has revenue,Neurology,Biotechnology,US,,,US Biotech,2.099991233544684,0.9258275746247423,1,micro,1,[],"['Neurology/CNS', 'Rare disease', 'Oncology']",2026-03-31,lexicon,"['Neurology/CNS', 'Rare disease', 'Oncology', 'Neurology']",Neurology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BDTX,"Black Diamond Therapeutics, Inc.",122.5,70.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0881360887005513,1.8512583487190752,1,micro,1,"['Small molecule', 'Diagnostics/devices']","['Oncology', 'Rare disease', 'Neurology/CNS']",2026-03-16,lexicon,"['Small molecule', 'Diagnostics/devices', 'Oncology', 'Rare disease', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
