is_anchor,ticker,name,region,primary_modality,size_band,mkt_cap_m_yf,cash_m,debt_m,ev_m,net_cash_to_mc,ev_cash_ratio,runway_months,peer_log_ev_resid,peer_log_ev_cash_resid,cheapness_score
False,XNCR,"Xencor, Inc.",US,General Biotech,small,884.339648,547.732992,187.747008,514.944,0.4070675614444462,0.9401369052459779,48.645220758022795,0.3667657960382549,0.6602682789762474,100.0
False,MDXG,"MiMedx Group, Inc.",US,General Biotech,small,500.457632,166.120992,22.532,314.738912,0.28691538068101635,1.8946366031813728,,0.5805753590550435,0.35593345695803147,96.7741935483871
False,ABCL,AbCellera Biologics Inc.,US,General Biotech,small,1266.849664,533.825984,143.218,867.508032,0.3083301792626911,1.625076444386791,48.79021903347423,0.1402522937718449,0.42258558508388566,93.54838709677419
False,ARVN,"Arvinas, Inc.",US,General Biotech,small,633.213824,685.4,8.9,-43.286128,1.0683594930485913,-0.06315454916836884,30.03944485025566,,,90.32258064516128
False,HRMY,"Harmony Biosciences Holdings, Inc.",US,General Biotech,small,1808.934528,775.340032,169.248,1202.005632,0.33505470906683915,1.5502948156815928,,-0.0013807043018418952,0.4430450855852372,87.09677419354838
False,GERN,Geron Corporation,US,General Biotech,small,986.986496,357.919008,121.992,750.511808,0.23903772640877147,2.0968760843235237,38.68105312643533,0.20316826875484306,0.3118866138742715,83.87096774193549
False,NUVB,Nuvation Bio Inc.,US,General Biotech,small,1547.201792,529.211008,66.94,1084.53696,0.2987787439170701,2.049346940266216,36.61789573167289,0.043281441307322144,0.3218438926249704,80.64516129032258
False,IMTX,Immatics N.V.,US,General Biotech,small,1473.721344,469.336992,15.635,1020.019392,0.3078614514522496,2.1733198307113195,31.886833784380553,0.06991736986945041,0.29633573751127196,77.41935483870968
False,NRIX,"Nurix Therapeutics, Inc.",US,General Biotech,small,1726.877184,540.732032,58.655,1244.800128,0.2791611566048695,2.3020647091977713,24.92886598128256,-0.0165738260457573,0.2713418531671927,74.19354838709677
False,GLUE,"Monte Rosa Therapeutics, Inc.",US,General Biotech,small,1532.299904,377.104,39.191,1194.387072,0.22052667308657614,3.167261742118885,60.0,0.0013807043018418952,0.13277542540580578,70.96774193548387
False,VIR,"Vir Biotechnology, Inc.",US,General Biotech,small,1647.005952,467.015008,97.852,1056.006016,0.2241418785109527,2.261182184534849,14.304369559613553,0.05485940590413563,0.27912382523297297,67.74193548387096
False,INVA,"Innoviva, Inc.",US,General Biotech,small,1702.440704,566.668032,331.244992,1467.530112,0.13828560339685111,2.589752781395651,,-0.08806122296807395,0.22020107212920453,64.51612903225806
False,SPRY,"ARS Pharmaceuticals, Inc.",US,General Biotech,small,820.223424,244.986,168.514,743.723776,0.09323313351265615,3.035780722163716,17.205482658925707,0.20711413264922296,0.1511889815228321,61.29032258064516
False,CTMX,"CytomX Therapeutics, Inc.",US,General Biotech,small,912.268224,137.052,4.24,585.376064,0.1455843758512847,4.271196801214138,21.758027173984942,0.31109083807769666,0.0029097977050444035,58.06451612903226
False,IOVA,"Iovance Biotherapeutics, Inc.",US,General Biotech,mid,1500.248064,296.98,49.444,1136.657024,0.16499671350350764,3.8273857633510673,11.784608872781144,0.022896358243805093,0.05055714320231541,54.83870967741935
False,MRVI,"Maravai LifeSciences Holdings, Inc.",US,General Biotech,small,1357.420544,216.89,364.708,846.840064,-0.10889624490610335,3.9044679976024717,45.20660726382158,0.15072440195378745,0.0418975127544019,51.61290322580645
False,AUPH,Aurinia Pharmaceuticals Inc.,US,General Biotech,small,1999.101056,397.944,74.812,1722.62656,0.16163865204821343,4.3288165168968495,,-0.15766534076378136,-0.0029097977050444035,48.38709677419355
False,ARDX,"Ardelyx, Inc.",US,General Biotech,small,1563.696,264.688992,233.83,1521.557248,0.019734649190123896,5.748471957609783,60.0,-0.10376249890526879,-0.12609303680895112,45.16129032258064
False,STOK,"Stoke Therapeutics, Inc.",US,General Biotech,mid,1935.414016,284.670016,4.148,1654.891904,0.14494160612713056,5.8133692028878805,,-0.14024383306915622,-0.1309685252587074,41.935483870967744
False,ZYME,Zymeworks Inc.,US,General Biotech,small,2046.299008,228.796992,18.267,1820.534144,0.10288329866599828,7.956984609308151,60.0,-0.18167303025384962,-0.2672891377304777,38.70967741935484
False,SNDX,"Syndax Pharmaceuticals, Inc.",US,General Biotech,small,1890.138752,413.686016,345.432,1821.8848,0.036110584965140156,4.404028005626373,15.370091621772247,-0.1819951142774907,-0.01039069172468432,35.483870967741936
